,model,p_value,test_statistic,significance_level
0,GPT-5-Nano,0.0016861573416462432,9.863219986120741,**
1,GPT-5-mini,0.00043986584707279207,12.354750175932447,***
2,GPT-4.1-Nano,0.3061283333821175,1.0473060982830118,
3,GPT-4.1-mini,0.6234305158175486,0.24107535157069931,
4,GPT-OSS-120b,0.44750315962054654,0.5769681742043528,
5,GPT-OSS-20b,0.015473830652456598,5.861701244813277,*
6,Llama-3.3-70B-Instruct,0.47021040747471776,0.5214814814814812,
7,Llama-3.1-8B-Instruct,0.045339074917223096,4.005982129101827,*
8,Llama-3.2-3B-Instruct,0.08474342251108057,2.9714965986394524,
9,Llama-3.2-1B-Instruct,0.001595368955835034,9.965084033613422,**
10,gemini-2.5-flash,0.9206158049676372,0.009931727171272959,
11,gemini-2.5-flash-lite,0.10650070798284296,2.605393676379417,
12,gemma-3-27b-it,0.06979838368887918,3.287755304628361,
13,gemma-3-12b-it,0.3010283629721762,1.069632974075148,
14,gemma-3-4b-it,0.09321974431572494,2.8178749737780566,
15,gemma-3-1b-it,0.35479824975912977,0.8562214748979077,
16,gemma-3-270m-it,5.666860879542593e-08,29.474111973653216,***
17,Mistral-Large-Instruct-2411,0.00027848810993255386,13.20980658809307,***
18,Mistral-Small-3.2-24B-Instruct-2506,0.015327757516447342,5.878398478035283,*
19,Ministral-8B-Instruct-2410,0.02866219256164416,4.7877892030848335,*
20,Qwen3-235B-A22B-Instruct-2507,0.7420728977933264,0.10831308573412024,
21,Qwen3-30B-A3B-Instruct-2507,0.972678193472971,0.0011730283282352268,
22,Qwen3-4B-Instruct-2507,0.13270778620774867,2.2605399158418744,
