,model,p_value,test_statistic,significance_level
0,GPT-5-Nano,5.715386056935098e-143,648.1242737249838,***
1,GPT-5-mini,9.144684329669258e-152,688.5704283360791,***
2,GPT-4.1-Nano,3.57796760871026e-103,465.18464566929134,***
3,GPT-4.1-mini,5.828856786072221e-138,625.0951704545455,***
4,GPT-OSS-120b,5.487995119578621e-178,809.1651173085436,***
5,GPT-OSS-20b,3.944291251353594e-152,690.2498063516654,***
6,Llama-3.3-70B-Instruct,1.3647396748070407e-166,756.7530695770805,***
7,Llama-3.1-8B-Instruct,8.006012257198499e-107,481.95925361766945,***
8,Llama-3.2-3B-Instruct,7.235511990706997e-75,335.15765449438203,***
9,Llama-3.2-1B-Instruct,5.6419564532309696e-05,16.21919431279621,***
10,gemini-2.5-flash,2.0246734473005323e-155,705.3774208786018,***
11,gemini-2.5-flash-lite,1.3669378192335008e-118,536.0454204204204,***
12,gemma-3-27b-it,4.041228947752321e-157,713.194490131579,***
13,gemma-3-12b-it,1.2078294789926317e-125,568.4705882352941,***
14,gemma-3-4b-it,1.0477440533393893e-49,219.70718038528898,***
15,gemma-3-1b-it,6.18678853790561e-14,56.31101426307448,***
16,gemma-3-270m-it,0.13464195967385265,2.2381502890173413,
17,Mistral-Large-Instruct-2411,1.8635608312270956e-168,765.3291196388262,***
18,Mistral-Small-3.2-24B-Instruct-2506,1.8230552232286743e-156,710.185606060606,***
19,Ministral-8B-Instruct-2410,5.853648629363702e-96,432.0375096674401,***
20,Qwen3-235B-A22B-Instruct-2507,9.261841643601848e-182,826.51795117281,***
21,Qwen3-30B-A3B-Instruct-2507,1.752936320084993e-148,673.4756097560976,***
22,Qwen3-4B-Instruct-2507,5.7001558685843566e-158,717.1063162024324,***
