,model,p_value,test_statistic,significance_level
0,GPT-5-Nano,9.14995577768965e-07,24.09917355371901,***
1,GPT-5-mini,4.838366597684064e-06,20.900229357798164,***
2,GPT-4.1-Nano,7.089711325757617e-08,29.040055248618785,***
3,GPT-4.1-mini,2.35844643303279e-06,22.2784,***
4,GPT-OSS-120b,1.1925416359694022e-11,45.98348348348348,***
5,GPT-OSS-20b,8.73481158344196e-09,33.10423825887744,***
6,Llama-3.3-70B-Instruct,1.1347527498506476e-07,28.12929292929293,***
7,Llama-3.1-8B-Instruct,1.856154514928031e-10,40.6125,***
8,Llama-3.2-3B-Instruct,5.822001511074482e-07,24.970308788598576,***
9,Llama-3.2-1B-Instruct,0.7263386976487618,0.1225,
10,gemini-2.5-flash,8.123574656348406e-10,37.730232558139534,***
11,gemini-2.5-flash-lite,0.5161913565020788,0.4214963119072708,
12,gemma-3-27b-it,1.1585239507581565e-05,19.23042168674699,***
13,gemma-3-12b-it,9.72729378571987e-11,41.87551867219917,***
14,gemma-3-4b-it,0.0013120923163894365,10.325436408977556,**
15,gemma-3-1b-it,0.0504717395441833,3.8257173219978746,
16,gemma-3-270m-it,0.07547532233038487,3.159737417943107,
17,Mistral-Large-Instruct-2411,8.90899095937244e-11,42.047348484848484,***
18,Mistral-Small-3.2-24B-Instruct-2506,9.438467456130638e-10,37.437603993344425,***
19,Ministral-8B-Instruct-2410,2.796855899949359e-09,35.320410490307864,***
20,Qwen3-235B-A22B-Instruct-2507,6.662019112297428e-10,38.117202268431,***
21,Qwen3-30B-A3B-Instruct-2507,5.093079353392705e-06,20.801960784313724,***
22,Qwen3-4B-Instruct-2507,1.2732999666648487e-06,23.463141025641026,***
