,model,p_value,test_statistic,significance_level
0,GPT-5-Nano,0.003283460986069039,8.642857142857142,**
1,GPT-5-mini,0.0002085563002761568,13.752380952380953,***
2,GPT-4.1-Nano,8.365294421002613e-07,24.271844660194176,***
3,GPT-4.1-mini,9.202470718068683e-06,19.670212765957448,***
4,GPT-OSS-120b,4.9011119265621686e-05,16.485981308411215,***
5,GPT-OSS-20b,2.4777918755991808e-05,17.781512605042018,***
6,Llama-3.3-70B-Instruct,4.859791358328677e-07,25.318681318681318,***
7,Llama-3.1-8B-Instruct,5.481682652690068e-06,20.66115702479339,***
8,Llama-3.2-3B-Instruct,0.0010266104684135233,10.778947368421052,**
9,Llama-3.2-1B-Instruct,0.00014667528687102566,14.414414414414415,***
10,gemini-2.5-flash,0.003597153207837261,8.476744186046512,**
11,gemini-2.5-flash-lite,2.1629498346506144e-07,26.881720430107528,***
12,gemma-3-27b-it,5.96312513750343e-06,20.5,***
13,gemma-3-12b-it,1.4338726289171644e-05,18.823529411764707,***
14,gemma-3-4b-it,2.6053075386291772e-05,17.686046511627907,***
15,gemma-3-1b-it,0.0008943262534652699,11.03448275862069,***
16,gemma-3-270m-it,0.32839315835530963,0.9552238805970149,
17,Mistral-Large-Instruct-2411,7.765853603033342e-05,15.614457831325302,***
18,Mistral-Small-3.2-24B-Instruct-2506,2.659007726175088e-07,26.482758620689655,***
19,Ministral-8B-Instruct-2410,2.7512032496213514e-05,17.582417582417584,***
20,Qwen3-235B-A22B-Instruct-2507,0.05003082214836672,3.8404255319148937,
21,Qwen3-30B-A3B-Instruct-2507,5.749313666325947e-05,16.18348623853211,***
22,Qwen3-4B-Instruct-2507,1.4083515613129146e-06,23.26923076923077,***
