,model,p_value,test_statistic,significance_level
0,GPT-5-Nano,0.014248079672347192,6.007142857142857,*
1,GPT-5-mini,0.01906073307164346,5.495934959349594,*
2,GPT-4.1-Nano,0.0003174895656931958,12.964285714285714,***
3,GPT-4.1-mini,0.027195156956906965,4.878378378378378,*
4,GPT-OSS-120b,0.0795306062273889,3.074468085106383,
5,GPT-OSS-20b,0.12539365903717895,2.3486238532110093,
6,Llama-3.3-70B-Instruct,0.00041923696954098723,12.444444444444445,***
7,Llama-3.1-8B-Instruct,0.012090025148399795,6.2976190476190474,*
8,Llama-3.2-3B-Instruct,0.06760613689648626,3.3402061855670104,
9,Llama-3.2-1B-Instruct,0.006605619138061399,7.37719298245614,**
10,gemini-2.5-flash,0.0008890490306585487,11.045454545454545,***
11,gemini-2.5-flash-lite,0.00030434234335938116,13.043478260869565,***
12,gemma-3-27b-it,0.0008890490306585487,11.045454545454545,***
13,gemma-3-12b-it,8.845305589676737e-07,24.164383561643834,***
14,gemma-3-4b-it,0.0001899769375903225,13.927710843373495,***
15,gemma-3-1b-it,2.5451346417356952e-05,17.73049645390071,***
16,gemma-3-270m-it,0.0006328538426737479,11.676767676767676,***
17,Mistral-Large-Instruct-2411,0.040502215582606756,4.19672131147541,*
18,Mistral-Small-3.2-24B-Instruct-2506,0.03358661289689766,4.515625,*
19,Ministral-8B-Instruct-2410,0.5761501220305787,0.3125,
20,Qwen3-235B-A22B-Instruct-2507,0.17185733906279532,1.8666666666666667,
21,Qwen3-30B-A3B-Instruct-2507,0.017679220543013262,5.627659574468085,*
22,Qwen3-4B-Instruct-2507,0.10819724752370119,2.580357142857143,
